Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.559,Clã,Secção,Energizados,,
1240.10.560,Clã,Secção,Energizados,,
1240.10.561,Clã,Secção,Energizados,,
1240.10.562,Clã,Secção,Energizados,,
1240.10.563,Clã,Secção,Energizados,,
1240.10.564,Clã,Secção,Energizados,,
1240.10.565,Clã,Secção,Energizados,,
1240.10.566,Clã,Secção,Energizados,,
1240.10.567,Clã,Secção,Energizados,,
1240.10.568,Clã,Secção,Energizados,,
1240.10.569,Clã,Secção,Energizados,,
1240.10.570,Clã,Secção,Energizados,,
1240.10.571,Clã,Secção,Energizados,,
1240.10.572,Clã,Secção,Energizados,,
1240.10.573,Clã,Secção,Energizados,,
1240.10.574,Clã,Secção,Energizados,,
1240.10.575,Clã,Secção,Energizados,,
1240.10.576,Clã,Secção,Energizados,,
1240.10.577,Clã,Secção,Energizados,,
1240.10.578,Clã,Secção,Energizados,,
1240.10.579,Clã,Secção,Energizados,,
1240.10.580,Clã,Secção,Energizados,,
1240.10.581,Clã,Secção,Energizados,,
1240.10.582,Clã,Secção,Energizados,,
1240.10.583,Clã,Secção,Energizados,,
1240.10.584,Clã,Secção,Energizados,,
1240.10.585,Clã,Secção,Energizados,,
1240.10.586,Clã,Secção,Energizados,,
1240.10.587,Clã,Secção,Energizados,,
1240.10.588,Clã,Secção,Energizados,,
1240.10.589,Clã,Secção,Energizados,,
1240.10.590,Clã,Secção,Energizados,,
1240.10.591,Clã,Secção,Energizados,,
1240.10.592,Clã,Secção,Energizados,,
1240.10.593,Clã,Secção,Energizados,,
1240.10.594,Clã,Secção,Energizados,,
1240.10.595,Clã,Secção,Energizados,,
1240.10.596,Clã,Secção,Energizados,,
1240.10.597,Clã,Secção,Energizados,,
1240.10.598,Clã,Secção,Energizados,,
1240.10.599,Clã,Secção,Energizados,,
1240.10.600,Clã,Secção,Socorrismo,,
1240.10.601,Clã,Secção,Socorrismo,,
1240.10.602,Clã,Secção,Socorrismo,,
1240.10.603,Clã,Secção,Socorrismo,,
1240.10.604,Clã,Secção,Socorrismo,,
1240.10.605,Clã,Secção,Socorrismo,,
1240.10.606,Clã,Secção,Socorrismo,,
1240.10.607,Clã,Secção,Socorrismo,,
1240.10.608,Clã,Secção,Socorrismo,,
1240.10.609,Clã,Secção,Socorrismo,,
1240.10.610,Clã,Secção,Socorrismo,,
1240.10.611,Clã,Secção,Socorrismo,,
1240.10.612,Clã,Secção,Socorrismo,,
1240.10.613,Clã,Secção,Socorrismo,,
1240.10.614,Clã,Secção,Socorrismo,,
1240.10.615,Clã,Secção,Socorrismo,,
1240.10.616,Clã,Secção,Socorrismo,,
1240.10.617,Clã,Secção,Socorrismo,,
1240.10.618,Clã,Secção,Socorrismo,,
1240.10.619,Clã,Secção,Socorrismo,,
1240.10.620,Clã,Secção,Socorrismo,,
1240.10.621,Clã,Secção,Socorrismo,,
1240.10.622,Clã,Secção,Socorrismo,,
1240.10.623,Clã,Secção,Socorrismo,,
1240.10.624,Clã,Secção,Socorrismo,,
1240.10.625,Clã,Secção,Socorrismo,,
1240.10.626,Clã,Secção,Socorrismo,,
1240.10.627,Clã,Secção,Socorrismo,,
1240.10.628,Clã,Secção,Socorrismo,,
1240.10.629,Clã,Secção,Socorrismo,,
1240.10.630,Clã,Secção,Socorrismo,,
1240.10.631,Clã,Secção,Socorrismo,,
1240.10.632,Clã,Secção,Socorrismo,,
1240.10.633,Clã,Secção,Socorrismo,,
1240.10.634,Clã,Secção,Socorrismo,,
1240.10.635,Clã,Secção,Socorrismo,,
1240.10.636,Clã,Secção,Socorrismo,,
1240.10.637,Clã,Secção,Socorrismo,,
1240.10.638,Clã,Secção,Socorrismo,,
1240.10.639,Clã,Secção,Socorrismo,,
1240.10.640,Clã,Secção,Socorrismo,,
1240.10.641,Clã,Secção,Socorrismo,,
1240.10.642,Clã,Secção,Socorrismo,,
1240.10.643,Clã,Secção,Socorrismo,,
1240.10.644,Clã,Secção,Socorrismo,,
1240.10.645,Clã,Secção,Socorrismo,,
1240.10.646,Clã,Secção,Socorrismo,,
1240.10.647,Clã,Secção,Socorrismo,,
1240.10.648,Clã,Secção,Socorrismo,,
1240.10.649,Clã,Secção,Socorrismo,,
1240.10.650,Clã,Secção,Socorrismo,,
1240.10.651,Clã,Secção,Socorrismo,,
1240.10.652,Clã,Secção,Socorrismo,,
1240.10.653,Clã,Secção,Socorrismo,,
1240.10.654,Clã,Secção,Socorrismo,,
1240.10.655,Clã,Secção,Socorrismo,,
1240.10.656,Clã,Secção,Socorrismo,,
1240.10.657,Clã,Secção,Socorrismo,,
1240.10.658,Clã,Secção,Socorrismo,,
1240.10.659,Clã,Secção,Socorrismo,,
1240.10.660,Clã,Secção,Socorrismo,,
1240.10.661,Clã,Secção,Socorrismo,,
1240.10.662,Clã,Secção,Socorrismo,,
1240.10.663,Clã,Secção,Socorrismo,,
1240.10.664,Clã,Secção,Socorrismo,,
1240.10.665,Clã,Secção,Socorrismo,,
1240.10.666,Clã,Secção,Socorrismo,,
1240.10.667,Clã,Secção,Socorrismo,,
1240.10.668,Clã,Secção,Socorrismo,,
1240.10.669,Clã,Secção,Socorrismo,,
1240.10.670,Clã,Secção,Socorrismo,,
1240.10.671,Clã,Secção,Socorrismo,,
1240.10.672,Clã,Secção,Socorrismo,,
1240.10.673,Clã,Secção,Socorrismo,,
1240.10.674,Clã,Secção,Socorrismo,,
1240.10.675,Clã,Secção,Socorrismo,,
1240.10.676,Clã,Secção,Socorrismo,,
1240.10.677,Clã,Secção,Socorrismo,,
1240.10.678,Clã,Secção,Socorrismo,,
1240.10.679,Clã,Secção,Socorrismo,,
1240.10.680,Clã,Secção,Socorrismo,,
1240.10.681,Clã,Secção,Socorrismo,,
1240.10.682,Clã,Secção,Socorrismo,,
1240.10.683,Clã,Secção,Socorrismo,,
1240.10.684,Clã,Secção,Socorrismo,,
1240.10.685,Clã,Secção,Socorrismo,,
1240.10.686,Clã,Secção,Socorrismo,,
1240.10.687,Clã,Secção,Socorrismo,,
1240.10.688,Clã,Secção,Socorrismo,,
