Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.466,Expedição,Secção,Ferramentas,,,
1240.20.467,Expedição,Secção,Ferramentas,,,
1240.20.468,Expedição,Secção,Ferramentas,,,
1240.20.469,Expedição,Secção,Ferramentas,,,
1240.20.470,Expedição,Secção,Ferramentas,,,
1240.20.471,Expedição,Secção,Ferramentas,,,
1240.20.472,Expedição,Secção,Ferramentas,,,
1240.20.473,Expedição,Secção,Ferramentas,,,
1240.20.474,Expedição,Secção,Ferramentas,,,
1240.20.475,Expedição,Secção,Ferramentas,,,
1240.20.476,Expedição,Secção,Ferramentas,,,
1240.20.477,Expedição,Secção,Ferramentas,,,
1240.20.478,Expedição,Secção,Ferramentas,,,
1240.20.479,Expedição,Secção,Ferramentas,,,
1240.20.480,Expedição,Secção,Ferramentas,,,
1240.20.481,Expedição,Secção,Ferramentas,,,
1240.20.482,Expedição,Secção,Ferramentas,,,
1240.20.483,Expedição,Secção,Ferramentas,,,
1240.20.484,Expedição,Secção,Ferramentas,,,
1240.20.485,Expedição,Secção,Ferramentas,,,
1240.20.486,Expedição,Secção,Ferramentas,,,
1240.20.487,Expedição,Secção,Ferramentas,,,
1240.20.488,Expedição,Secção,Ferramentas,,,
1240.20.489,Expedição,Secção,Ferramentas,,,
1240.20.490,Expedição,Secção,Ferramentas,,,
1240.20.491,Expedição,Secção,Ferramentas,,,
1240.20.492,Expedição,Secção,Ferramentas,,,
1240.20.493,Expedição,Secção,Ferramentas,,,
1240.20.494,Expedição,Secção,Ferramentas,,,
1240.20.495,Expedição,Secção,Ferramentas,,,
1240.20.496,Expedição,Secção,Ferramentas,,,
1240.20.497,Expedição,Secção,Ferramentas,,,
1240.20.498,Expedição,Secção,Ferramentas,,,
1240.20.499,Expedição,Secção,Ferramentas,,,
1240.20.500,Expedição,Secção,Energizados,Bilha Campingaz 904,com tampa,
1240.20.501,Expedição,Secção,Energizados,Bilha Campingaz 904,com tampa,
1240.20.502,Expedição,Secção,Energizados,Bilha Campingaz 907,com tampa,
1240.20.503,Expedição,Secção,Energizados,Bilha Campingaz 901,com tampa,
1240.20.504,Expedição,Secção,Energizados,,,
1240.20.505,Expedição,Secção,Energizados,,,
1240.20.506,Expedição,Secção,Energizados,,,
1240.20.507,Expedição,Secção,Energizados,,,
1240.20.508,Expedição,Secção,Energizados,,,
1240.20.509,Expedição,Secção,Energizados,,,
1240.20.510,Expedição,Secção,Energizados,,,
1240.20.511,Expedição,Secção,Energizados,,,
1240.20.512,Expedição,Secção,Energizados,,,
1240.20.513,Expedição,Secção,Energizados,,,
1240.20.514,Expedição,Secção,Energizados,,,
1240.20.515,Expedição,Secção,Energizados,,,
1240.20.516,Expedição,Secção,Energizados,,,
1240.20.517,Expedição,Secção,Energizados,,,
1240.20.518,Expedição,Secção,Energizados,,,
1240.20.519,Expedição,Secção,Energizados,,,
1240.20.520,Expedição,Secção,Energizados,,,
1240.20.521,Expedição,Secção,Energizados,,,
1240.20.522,Expedição,Secção,Energizados,,,
1240.20.523,Expedição,Secção,Energizados,,,
1240.20.524,Expedição,Secção,Energizados,,,
1240.20.525,Expedição,Secção,Energizados,,,
1240.20.526,Expedição,Secção,Energizados,,,
1240.20.527,Expedição,Secção,Energizados,,,
1240.20.528,Expedição,Secção,Energizados,,,
1240.20.529,Expedição,Secção,Energizados,,,
1240.20.530,Expedição,Secção,Energizados,,,
1240.20.531,Expedição,Secção,Energizados,,,
1240.20.532,Expedição,Secção,Energizados,,,
1240.20.533,Expedição,Secção,Energizados,,,
1240.20.534,Expedição,Secção,Energizados,,,
1240.20.535,Expedição,Secção,Energizados,,,
1240.20.536,Expedição,Secção,Energizados,,,
1240.20.537,Expedição,Secção,Energizados,,,
1240.20.538,Expedição,Secção,Energizados,,,
1240.20.539,Expedição,Secção,Energizados,,,
1240.20.540,Expedição,Secção,Energizados,,,
1240.20.541,Expedição,Secção,Energizados,,,
1240.20.542,Expedição,Secção,Energizados,,,
1240.20.543,Expedição,Secção,Energizados,,,
1240.20.544,Expedição,Secção,Energizados,,,
1240.20.545,Expedição,Secção,Energizados,,,
1240.20.546,Expedição,Secção,Energizados,,,
